,score,enemies beaten,enemies beaten list,enemies not beaten list,enemy lives,player lives,times
85,1.2374999999999998,1,[5],"[1, 2, 3, 4, 6, 7, 8]","[100, 90.0, 90.0, 70.0, 0, 90.0, 80.0, 90.0]","[0, 0, 0, 0, 31.000000000000263, 0, 0, 0]","[308, 329, 227, 222, 292, 147, 315, 202]"
86,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
87,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 329, 338, 220, 442, 105, 306, 216]"
88,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[331, 252, 83, 247, 1000, 240, 399, 489]"
89,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 40.600000000000286, 0, 0, 0]","[308, 329, 227, 149, 1000, 174, 341, 227]"
90,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[315, 328, 340, 228, 754, 124, 292, 227]"
91,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 54.40000000000032, 0, 0, 0]","[315, 329, 339, 147, 1000, 177, 315, 205]"
92,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 40.600000000000286, 0, 0, 0]","[308, 329, 227, 150, 1000, 174, 309, 232]"
93,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 39.40000000000028, 0, 0, 0]","[308, 329, 227, 149, 1000, 174, 313, 208]"
94,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 63.40000000000034, 0, 0, 0]","[313, 548, 337, 354, 1000, 456, 296, 394]"
95,0.0,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 100, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 100, 0, 0, 0]","[413, 368, 521, 1102, 1000, 487, 174, 372]"
96,0.0125,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 100, 90.0, 100, 100, 100, 100, 100]","[0, 0, 0, 0, 0, 0, 0, 0]","[328, 245, 83, 225, 742, 235, 392, 490]"
97,0.36250000000000004,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[90.0, 10.0, 70.0, 90.0, 90.0, 100, 20.0, 40.0]","[0, 0, 0, 0, 88.60000000000011, 0, 0, 0]","[603, 164, 83, 240, 1000, 213, 385, 400]"
98,0.1875,0,[],"[1, 2, 3, 4, 5, 6, 7, 8]","[100, 10.0, 100, 90.0, 100, 90.0, 60.0, 100]","[0, 0, 0, 0, 67.6000000000003, 0, 0, 0]","[331, 252, 84, 313, 1000, 276, 393, 490]"
99,3.525,3,"[2, 7, 8]","[1, 3, 4, 5, 6]","[90.0, 0, 60.0, 80.0, 50.0, 100, 0, 0]","[0, 28, 0, 0, 0, 0, 24.400000000000247, 26.800000000000253]","[323, 176, 153, 185, 520, 167, 301, 328]"
